SRR003347.filt.fastq.gz,9.4 MB,9/23/2009 0:00
SRR003347_1.filt.fastq.gz,497 MB,9/23/2009 0:00
SRR003347_2.filt.fastq.gz,504 MB,9/23/2009 0:00
SRR003348.filt.fastq.gz,45.5 MB,9/19/2009 0:00
SRR003348_1.filt.fastq.gz,529 MB,9/19/2009 0:00
SRR003348_2.filt.fastq.gz,536 MB,9/19/2009 0:00
SRR003349.filt.fastq.gz,107 MB,9/22/2009 0:00
SRR003349_1.filt.fastq.gz,393 MB,9/22/2009 0:00
SRR003349_2.filt.fastq.gz,400 MB,9/22/2009 0:00
SRR003350.filt.fastq.gz,130 MB,9/22/2009 0:00
SRR003350_1.filt.fastq.gz,357 MB,9/22/2009 0:00
SRR003350_2.filt.fastq.gz,367 MB,9/22/2009 0:00
SRR003351.filt.fastq.gz,79.8 MB,9/23/2009 0:00
SRR003351_1.filt.fastq.gz,437 MB,9/23/2009 0:00
SRR003351_2.filt.fastq.gz,457 MB,9/23/2009 0:00
SRR003352.filt.fastq.gz,70.3 MB,9/23/2009 0:00
SRR003352_1.filt.fastq.gz,393 MB,9/23/2009 0:00
SRR003352_2.filt.fastq.gz,405 MB,9/23/2009 0:00
SRR003353.filt.fastq.gz,34.5 MB,9/23/2009 0:00
SRR003353_1.filt.fastq.gz,454 MB,9/23/2009 0:00
SRR003353_2.filt.fastq.gz,461 MB,9/23/2009 0:00
SRR006357.filt.fastq.gz,113 MB,9/23/2009 0:00
SRR006357_1.filt.fastq.gz,416 MB,9/23/2009 0:00
SRR006357_2.filt.fastq.gz,427 MB,9/23/2009 0:00
SRR006358.filt.fastq.gz,114 MB,9/23/2009 0:00
SRR006358_1.filt.fastq.gz,456 MB,9/23/2009 0:00
SRR006358_2.filt.fastq.gz,474 MB,9/23/2009 0:00
SRR006359.filt.fastq.gz,122 MB,9/22/2009 0:00
SRR006359_1.filt.fastq.gz,435 MB,9/22/2009 0:00
SRR006359_2.filt.fastq.gz,452 MB,9/22/2009 0:00
SRR006360.filt.fastq.gz,52.8 MB,9/23/2009 0:00
SRR006360_1.filt.fastq.gz,505 MB,9/23/2009 0:00
SRR006360_2.filt.fastq.gz,535 MB,9/23/2009 0:00
SRR006361.filt.fastq.gz,28.2 MB,9/22/2009 0:00
SRR006361_1.filt.fastq.gz,467 MB,9/22/2009 0:00
SRR006361_2.filt.fastq.gz,502 MB,9/22/2009 0:00
SRR006362.filt.fastq.gz,28.8 MB,9/23/2009 0:00
SRR006362_1.filt.fastq.gz,493 MB,9/23/2009 0:00
SRR006362_2.filt.fastq.gz,532 MB,9/23/2009 0:00
SRR014015.filt.fastq.gz,247 MB,9/23/2009 0:00
SRR014015_1.filt.fastq.gz,1.4 GB,9/23/2009 0:00
SRR014015_2.filt.fastq.gz,1.4 GB,9/23/2009 0:00
SRR018112.filt.fastq.gz,55.5 MB,11/5/2009 0:00
SRR018112_1.filt.fastq.gz,624 MB,11/5/2009 0:00
SRR018112_2.filt.fastq.gz,628 MB,11/5/2009 0:00
SRR018113.filt.fastq.gz,65.8 MB,11/5/2009 0:00
SRR018113_1.filt.fastq.gz,610 MB,11/5/2009 0:00
SRR018113_2.filt.fastq.gz,608 MB,11/5/2009 0:00
SRR018114.filt.fastq.gz,87.1 MB,10/5/2009 0:00
SRR018114_1.filt.fastq.gz,503 MB,10/5/2009 0:00
SRR018114_2.filt.fastq.gz,524 MB,10/5/2009 0:00
SRR020484.filt.fastq.gz,36.7 MB,11/5/2009 0:00
SRR020484_1.filt.fastq.gz,880 MB,11/5/2009 0:00
SRR020484_2.filt.fastq.gz,903 MB,11/5/2009 0:00
SRR027539.filt.fastq.gz,260 MB,2/12/2010 0:00
SRR027539_1.filt.fastq.gz,537 MB,2/12/2010 0:00
SRR027539_2.filt.fastq.gz,517 MB,2/12/2010 0:00
SRR077878.filt.fastq.gz,68.8 MB,1/11/2011 0:00
SRR077880.filt.fastq.gz,72.0 MB,1/10/2011 0:00
SRR077882.filt.fastq.gz,62.8 MB,1/10/2011 0:00
SRR077885.filt.fastq.gz,58.6 MB,1/10/2011 0:00
SRR077886.filt.fastq.gz,53.9 MB,1/10/2011 0:00
SRR077891.filt.fastq.gz,62.4 MB,1/11/2011 0:00
SRR077892.filt.fastq.gz,67.2 MB,1/11/2011 0:00
SRR077893.filt.fastq.gz,68.7 MB,1/11/2011 0:00
SRR084874.filt.fastq.gz,278 kB,1/11/2011 0:00
SRR084874_1.filt.fastq.gz,47.3 MB,1/11/2011 0:00
SRR084874_2.filt.fastq.gz,48.0 MB,1/11/2011 0:00
SRR084875.filt.fastq.gz,125 kB,1/11/2011 0:00
SRR084875_1.filt.fastq.gz,43.0 MB,1/11/2011 0:00
SRR084875_2.filt.fastq.gz,43.8 MB,1/11/2011 0:00
SRR084877.filt.fastq.gz,181 kB,1/11/2011 0:00
SRR084877_1.filt.fastq.gz,64.0 MB,1/11/2011 0:00
SRR084877_2.filt.fastq.gz,63.6 MB,1/11/2011 0:00
SRR084878.filt.fastq.gz,257 kB,1/11/2011 0:00
SRR084878_1.filt.fastq.gz,46.0 MB,1/11/2011 0:00
SRR084878_2.filt.fastq.gz,46.6 MB,1/11/2011 0:00
SRR084884.filt.fastq.gz,174 kB,1/17/2011 0:00
SRR084884_1.filt.fastq.gz,46.6 MB,1/17/2011 0:00
SRR084884_2.filt.fastq.gz,47.6 MB,1/17/2011 0:00
SRR084892.filt.fastq.gz,148 kB,1/11/2011 0:00
SRR084892_1.filt.fastq.gz,57.9 MB,1/11/2011 0:00
SRR084892_2.filt.fastq.gz,57.4 MB,1/11/2011 0:00
SRR084893.filt.fastq.gz,107 kB,1/11/2011 0:00
SRR084893_1.filt.fastq.gz,45.5 MB,1/11/2011 0:00
