TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10938021-S,1301.6,1311.2,1266.1,1239.7,1694.2,1376.7,1303.6,1524.8,1148.1,1462.2,1219.5,1412,1088.5,1323.6,1359.7,1170.4,1216.7,1820.2,1331.6,1366.7,1323.9,1262.4,1290.3,1426.7,1103.8,1105.3,943.1,1466.2,1418.4,1410.1,1325.5,1305.1,1221.7,1431.9,1040.7,957.9,1114.7,1416.1,1492.2,1144.9
GI_10947030-S,4813,3711.9,5440.8,4530.1,3468.9,4289.5,2821.7,3229.8,4053.8,4339.9,3461.4,4260.3,4458.1,3285.4,3680.9,4211.7,3435.2,3940,2543.4,4118.8,3811.2,4226.5,3829.9,4608.7,3876.1,5321.3,4306.9,3923.4,3672,3681.4,3190.5,3438.4,3093,3295.2,4441.6,3761.2,3670.1,4357.8,2933.4,4344.3
GI_10947032-S,293.6,248.1,271.6,245.6,421.5,384.1,303.3,292.9,262.2,312.8,290.3,335.4,383.8,326,303.5,270.9,290.8,317.6,250,287.8,290.5,340.3,300.8,287.1,306.4,328,291.4,392.2,329.7,334.8,359.6,251.9,297.4,261.6,311.4,298,300.3,326.5,382.7,231.3
GI_10947033-S,1104.4,1935.8,1770.4,1939.9,1487.3,1378.5,1854.2,1893.8,2268.9,1667.9,1118.9,1550.9,1193.7,926.8,2264.1,2651.4,3469.2,3935.9,1895.8,2052.2,2414.4,1352.5,2060.9,1671.5,1065,1930.9,1318.1,1688.1,1748.7,967.8,1439.6,1899.1,1794.2,2449.4,1381,1870.6,1797.6,1776.4,1600.9,3151.9
GI_10947034-S,118.1,89.2,115.2,127.1,149.2,133.2,118.5,96.5,105.1,105.2,151.9,70.1,125,169.4,134.4,150.7,91.7,85.9,102.9,84.3,93.4,143,117.4,133.5,158.5,125.2,165.6,92.9,114.8,162.2,128.2,139.5,94.5,167.5,150,146,126.1,116.4,128,109.7
GI_10947053-A,67.5,NaN,58.9,50.5,101.7,67,50,61,52.9,93.7,102.2,68.5,72.1,298.9,70,NaN,58.1,NaN,52.4,68.4,59,65.9,61.7,35.2,61.1,NaN,47.7,65.3,78.7,79.9,94.5,59.9,93.7,71.8,53.6,45.4,57.1,104,84.7,NaN
GI_10947058-S,1219.5,1343.7,1128.9,1244,1138.6,1247.7,918.9,1089.8,1168.5,1142.2,959.1,1138.4,758.8,883,1092,1195.4,1336.5,1272.5,1014.8,1080.1,1243.7,987.8,1183.9,1253.9,944.9,1071.5,1153.3,915.2,994.4,839.6,958.3,1101.3,744.8,1468.6,1031.1,999.1,1038.2,1390.8,1095.3,1497.5
GI_10947125-S,70.5,68.9,57.6,58.4,87.7,81,115,113.3,99.7,137.1,92.8,87.3,86.8,132.3,91.3,72.9,109.9,188,129.1,104.2,94.9,97.1,93.3,93.7,92.9,93.9,73.2,129.5,104.1,86.9,93.2,115.6,115.4,122.6,74.7,84.8,84.3,139.1,119.5,81
GI_10947134-S,583.3,618.2,488,476.4,357.3,513.2,490,489.4,516.7,438.4,443.1,520.3,531.3,358.4,461.8,533.8,542.1,501.9,436.4,480.6,495.2,413,522.4,461.6,427.7,425.2,508.5,477.4,439.9,390.3,375.2,494,487.5,586.8,505.8,634.8,510.1,427.6,344.9,482.5
GI_11024697-S,2524.2,2366.8,2141.3,2467.5,2668.7,2645.3,2480,2041.1,3467.6,1789.7,2017,1885.9,2548.4,2284.8,2266.7,2247.8,3023.3,2449.6,2602,2012.6,2543.5,2421.3,2031.7,3130.4,2383.1,2378.4,2190.2,2138.6,2792,2006.9,2449.1,2849.9,2330,2275.7,2451.8,2590.6,2126.2,2628,2252.8,2072
GI_11024703-S,40.6,NaN,37.7,61.1,64.8,58.9,88.2,67.5,70.8,85.5,68.7,NaN,48.7,78.1,71.4,NaN,86.4,103.9,95.5,78.7,55.6,50.5,61.4,67.4,59.4,NaN,44.3,79.1,59.5,62.6,80.1,100.1,76.1,73.3,57.4,47.5,66.2,NaN,86.7,68.7
GI_11034834-I,309.3,406.6,344.1,447.1,463.9,348.5,478.5,344.4,438.3,475.1,437,519,174.2,253.6,527.9,318,468.2,257.5,359.9,365,320.9,297.1,382.7,431.4,490.8,420.1,379.7,328.5,317.5,275.8,376,330.4,521,380.4,379,442,370.7,514.8,339.5,554.4
GI_11034854-S,735.7,905.3,778.4,784.1,827.4,906,1158.6,1172.9,1196.7,960.7,711.3,637.3,731.4,607.5,939.4,756.3,1085.1,1395.2,1206,879.2,1155.7,890.2,1002.3,1233,834.2,777.8,713.6,908.9,799.1,684.7,700.4,888.8,909.2,896.1,671,823.5,780.3,883.5,902.3,867.4
GI_11036639-S,1989.4,982.4,1509.2,1731.3,2487.1,1525.8,678.8,756.8,812,959.5,1523.8,1068.1,1963.3,2200,1121.9,966.1,848.5,817.5,698.7,879,830.7,1567.7,1065.8,1437.9,1415.3,1317.7,1213.3,853.3,1698.3,1698.6,1461.5,927,775.9,1406.5,1962.9,1652.6,1303.8,1455.1,902.6,881.9
GI_11037054-S,114.1,54.2,92.3,94.2,38.7,46.2,51.2,59.1,49,50.7,48.1,80.7,51.5,31.2,40.3,83,59.5,NaN,73.8,57.7,97.3,57,61.3,64.6,47.5,NaN,61.2,67.5,61.9,56,65.8,54.8,NaN,80,67.3,62.5,70.2,NaN,200.6,66.6
GI_11037056-S,409.1,875,960,889.1,766.2,830.5,1614.1,1215.1,1395.6,1777.9,743.3,816.2,500.4,574.3,1644.2,1286.6,2034.3,2459.3,2219.9,1109.1,1999.2,1029.3,1657.7,1451.4,952.8,986.8,1068.7,1211.4,1495.2,612.2,803.1,1379.6,1105.7,1211.6,375.9,719,1110.3,1031.7,1317,1394.7
GI_11037060-A,90.9,61.7,77.8,45,70,81.2,108.7,116.7,88.3,58.5,95.9,97.4,223.3,140.2,59,80.3,58.9,83.5,82.6,89.1,74.4,134.1,77.1,97.6,126.6,104.2,97.6,105.3,55.2,100.1,109.8,96.8,69.5,65.9,80.3,76.8,76.3,120.7,112.2,NaN
GI_11037062-S,39.6,99.8,56.5,50.9,89.1,74.1,63,80.5,53,85.7,147.7,72.9,55.8,169.9,76.6,108.4,97.5,116.6,118.2,100.8,65.3,68.7,62.3,65.6,76.8,62.6,100.4,95.3,55.3,87.8,97.9,80.3,106,95.6,91,81.8,86.8,NaN,134.4,NaN
GI_11037064-S,54.9,91.5,84,60.8,62,91.6,78.7,105.4,103.9,116.2,83.4,57.2,59.5,52.5,110.4,147.2,187.4,174.8,186.4,162.1,143.5,61.3,97.8,98.9,73.1,106.4,78.9,143.4,130.2,84.9,69.1,116.5,78.4,93.9,54.2,34.4,75.8,71.6,126.3,108.7
GI_11038618-S,1575.7,965.9,775.5,1204.5,1378.7,1333.2,1890.6,2397.3,1564.3,1376.7,3004.3,815.6,2025.4,2103.2,992,943.4,692.8,847.1,2010,1130.1,1443.5,1903.2,897.6,1922.5,1812.4,945.2,887.3,1233.7,1330.5,1738,1738.2,1641.8,1396.4,1217.6,1012.8,991.5,1327.4,1087.8,2674.1,662.3
GI_11038623-S,187.2,143.3,154.9,128.5,199.4,137.8,146.5,145.6,213.8,187.7,163.9,165.1,187.6,197.4,172.1,104.6,201,255.3,181.7,198.7,217.7,164.3,147.7,131.4,162.3,172.5,140.7,198.1,169.6,164.8,247.9,164.2,143.8,214.5,160.1,163.8,135.2,161,246.8,119.9
GI_11038640-A,180.3,227.4,162.5,200,55.8,156.3,199,241.8,195.4,169.7,159,111.3,278,94.6,144.7,235.6,95.6,231.6,154.2,145.8,203.8,191,186.7,166.8,180.5,155.6,186.6,172.5,144.5,142.3,84.2,179,104.5,96.9,80.6,107.1,130.4,99.3,123.2,105.2
GI_11038642-A,3262.9,2775,4277.3,3742.6,2509.7,2516.3,2796.3,3144.1,3272.1,3209.1,2767.3,2898.2,3213.9,2152.2,2744.5,3266.2,2606.6,2516.3,2944.4,2558,3220.8,2931.3,2631.6,4011.1,2668,3622.5,3161,2351.2,2719.9,2124,2223.2,2749,2450.8,2531.6,2225.4,2454.1,2407.7,3198.5,2031.6,3191.6
GI_11038644-I,684.5,467.5,576.1,476.3,737.9,505,351.5,376,363.3,414.3,730.5,340.1,699.2,938.4,361.7,303.3,264.5,292.6,370.5,305.8,310.4,496.5,281.3,481,495.6,397,378.4,287.4,510.2,568.7,443.5,347.9,398.2,380.1,416.4,425.2,377.4,541.8,334.2,221.5
