TargetID,WGAAD-144,WGAAD-148,WGAAD-15,WGAAD-156,WGAAD-158,WGAAD-165,WGAAD-166,WGAAD-171,WGAAD-175,WGAAD-178,WGAAD-179,WGAAD-18,WGAAD-184,WGAAD-186,WGAAD-187,WGAAD-188,WGAAD-189,WGAAD-190,WGAAD-191,WGAAD-192,WGAAD-193,WGAAD-194,WGAAD-195,WGAAD-196,WGAAD-199,WGAAD-20,WGAAD-200,WGAAD-201,WGAAD-202,WGAAD-230,WGAAD-231,WGAAD-232,WGAAD-234,WGAAD-236,WGAAD-237,WGAAD-238,WGAAD-239,WGAAD-24,WGAAD-242,WGAAD-243
GI_10800411-S,1119.2,977.6,1856.4,1447.5,1004.3,1154.1,798.9,728.4,918.1,1238.1,1234.7,1631.6,1336.2,765.2,1441.8,1138.9,917.2,649.5,815.9,995.9,1044.2,1167.5,1172.1,1213.3,1064.2,1898.4,1353,1189.2,1108.9,913.7,959.8,785.4,663.6,899.7,1043.3,1029.5,953.2,1328.8,924.6,1098.9
GI_10800413-S,211.8,184.7,124.9,192.1,290.2,241.7,192.5,236.3,187.7,286.8,292.8,172.5,207,380.3,120.4,139.4,181.9,141.8,198.3,144.5,151.8,293.9,164.2,357.1,379.1,128.2,229.1,151,148.3,336.5,281.7,242.8,222.9,225.4,213.1,191.3,247.8,216.6,250,193.6
GI_10800414-S,980.9,571.3,463,520.1,643.6,636.8,500,409.1,424.3,505,536.2,468.5,732.7,927.2,367.7,428.9,377.4,312.9,523.4,392.2,514.2,879,359,579.4,806.3,441.1,559.7,423.5,611.3,888.1,653,440.2,432.7,509.8,754.5,602.2,606.4,661,614.1,540.7
GI_10800415-S,733.2,190.5,181.9,358.1,588.1,396.7,131.4,133.8,106.4,158.3,491.4,176.6,740,765.9,188.2,208.7,150.3,NaN,168.6,152.9,108.8,470.8,195.8,289.1,460.3,215.7,281,166.5,371.1,580.3,365.8,229.9,147.8,246.9,694.6,334.1,329.7,305.4,216.8,115.5
GI_10800416-S,79.1,62.4,91.4,64.9,46.7,43.3,91.8,55.4,83.5,42.3,60.5,84.3,93.4,45,64.7,86.5,71,NaN,75.6,64.2,77.3,73.6,56,45.3,61,80.8,60.4,59.9,55.1,61,60.2,84.9,86,99.6,73.9,55.2,64.3,72,80.2,85.6
GI_10800418-S,8272.1,6050.6,8228.6,9426.2,6148.2,6050.8,1533.8,1228.7,2161.5,7133.5,3914.8,9608.4,5390.1,4767.7,3855.6,6964.5,3967.9,1667.1,1098.8,3852.7,3087.5,3339,5524.2,5549.2,3523.2,7296,8787,2749.2,5122.4,5877.6,4906.9,3877.8,2818.2,6572.6,11482.4,11937.8,6683.1,8115.6,3525.3,11568.6
GI_10801344-S,1507.5,830.3,1240.7,884.4,693.2,908.2,955.8,946.1,1062.5,926.2,970.8,927.7,1513.9,1039.8,939.6,917.9,604.3,839.9,1013,837.6,1006.5,1021.3,776.9,843.4,867.4,1069.3,939,1014.5,934.1,1396.8,895.1,1211.7,1114.4,1129.4,944.6,847.2,762.5,935.9,1188.8,542.7
GI_10834965-S,182.4,151.7,157.1,201.3,192,170.6,209.3,214.8,198.6,193.9,172.3,166.9,103.4,167,175.7,161.6,201.1,326.4,159.8,130.3,156.9,170.2,185.9,172.2,146.1,158.2,162.1,194.1,181.3,173.3,170.1,153.6,141.6,195,172.3,181.6,152.8,184.6,206,187.8
GI_10834989-A,45.9,270.8,131.2,140.1,61.1,152.8,240.7,134.3,256.3,135.9,116.8,116,226.7,44.4,196.2,300.8,241.6,141.2,242.5,204.3,223.9,195,219.7,234.8,167.2,152,189.9,146.3,103.8,52.3,106.1,179,197.4,200.6,103.4,117.2,132.7,NaN,133,237.4
GI_10835001-S,1032.9,1194.1,2288.6,1432.1,939.6,1571.1,1624.5,2187,1338.1,2047.8,1487.2,1403.1,437.7,971,1426.3,1273,1567.4,1528,1713.5,1503,1598.6,937,1340.1,1294.5,1128.6,976.6,697,1505.1,1100,1143.2,1313.5,1352.4,933.4,810.7,567.6,738.9,914.5,1421,1457.6,1419.8
